Label,id,node
Lynn Bostick,696,696
"Paul A. Lobel|International Silver Co., Wilcox Silver Plate Co. Division (Meriden, Connecticut)",697,697
Roberta Allen,698,698
Alice Aycock,699,699
Agnes Denes,700,700
Jackie Ferrara,701,701
Ana Mendieta,702,702
Beverly Pepper,703,703
James Havard,704,704
Marsden Hartley,705,705
Hannah Wilke,706,706
Lester Johnson,707,707
Fritz Glarner,708,708
Dorothy Grotz,709,709
Chuck Forsman,710,710
Philip Tsiaras,711,711
Jonathan Weinberg,712,712
David Wojnarowicz,713,713
Michael Lucero,714,714
David Saunders,715,715
Gayil Nalls,716,716
Father Dennis Leder,717,717
Warren Rohrer,718,718
Milet Andrejevic,719,719
Sigrid Burton,720,720
Charles Ginnever,721,721
Ronnie Landfield,722,722
John Heliker,723,723
Audrey Sheldon,724,724
Ralph Mayer,725,725
Roger Brown,726,726
Bryan Hunt,727,727
Joel Philip Myers,728,728
Janet Sawyer,729,729
Martin Wong,730,730
Tod Wizon,731,731
Matt Mullican,732,732
David Bates,733,733
Duncan Hannah,734,734
James Brown,735,735
Ira Sapir,736,736
Dennis Smith,737,737
Isabel Giampietro Knoll|Royal Leerdam Glass,738,738
Seymour Lipton,739,739
Edgar Stoëbel,740,740
James G. Davis,741,741
Dennis Oppenheim,742,742
Walter Hatke,743,743
"Simmons Furniture Company, Chicago, Illinois|Norman Bel Geddes",744,744
"Ray Eames|Charles Eames|Schiffer Prints Division, Mil-Art Co., Inc.",745,745
Dona Nelson,746,746
Mark Wethli,747,747
Emil Bisttram,748,748
Byron Browne,749,749
Elsie Driggs,750,750
John Opper,751,751
Ralph Rosenborg,752,752
Eugene Schoen,753,753
Norman Bluhm|Frank O'Hara,754,754
James Biederman,755,755
George W. Staempfli,756,756
Ed Garman,757,757
Matthew Daub,758,758
Robert Helm,759,759
Nicholas Africano,760,760
Joseph Piccillo,761,761
Gerald Immonen,762,762
David Schofield,763,763
TODT,764,764
Han-Lien Wu,765,765
Scott Richter,766,766
Luis Jiménez,767,767
Richard Rudich,768,768
Joseph Raffael,769,769
Raymond Loewy|Richard Latham|Rosenthal,770,770
Adam Cvijanovic,771,771
Raymond Saunders,772,772
e. e. cummings,773,773
Adolf Dehn,774,774
Duncan Ferguson,775,775
John Bernard Flannagan,776,776
Robert Hallowell,777,777
Gaston Lachaise,778,778
Dudley Mygatt,779,779
John Marin,780,780
Edward Nagle,781,781
Carl Sprinchorn,782,782
Clement Wilenchick,783,783
Djuna Barnes,784,784
Emile Branchard,785,785
James Ormsbee Chapin,786,786
Agnes Martin,787,787
Hunt Slonem,788,788
Gary Jacobson,789,789
Benjamin Baldwin,790,790
Gretchen Bellinger|Gretchen Bellinger,791,791
John Stuart Ingle,792,792
Jeanette Pasin Sloan,793,793
George Nick,794,794
Rick Grafton,795,795
Charles Eames|Eero Saarinen,796,796
Dan Cooper,797,797
Arthur Dove,798,798
Richard Artschwager,799,799
Harry Bertoia|Knoll,800,800
"Charles Pollock|The Herman Miller Furniture Company, Zeeland, MI",801,801
Stehli Silks Corporation|Stehli Silks Corporation,802,802
Katharine Sturges,803,803
Stehli Silks Corporation,804,804
Clayton Knight|Stehli Silks Corporation,805,805
Kadel & Herbert Commercial Department|Stehli Silks Corporation,806,806
Clayton Knight,807,807
The New York Times,808,808
Jhane Barnes|Knoll,809,809
Nob+Non,810,810
Nob+Non|Knoll,811,811
Joe Zucker,812,812
Franz Kline,813,813
Charles Eames,814,814
Beatrice Wood,815,815
George Nelson,816,816
Wade Saunders,817,817
Kaiden-Kazanjian Studios|Eugene Schoen,818,818
Alexander Calder|Laverne Originals,819,819
Robert Venturi,820,820
"Florence Knoll Bassett|V'Soske, Inc.",821,821
Gregory Amenoff,822,822
Rackstraw Downes,823,823
David True,824,824
John Monti,825,825
Carolyn Brady,826,826
Tomas Vroman,827,827
Hans Moller,828,828
Howard Low,829,829
Robert Venturi|Knoll,830,830
